z,E
0.017,-130.93048708357358
0.019000000000000003,7836.376534463365
0.021,18682.498778678884
0.023,17035.900276851036
0.025,15134.080175980745
0.027000000000000003,12405.863558311548
0.029,9356.768592965784
0.031,7032.348447007353
0.035,4027.563990781668
0.039,2076.120591550757
0.043,1482.2906668862831
0.047,1066.0657827620387
0.055,373.2724856681677
0.065,-81.68623905247809
0.07500000000000001,-785.4434332434053
