z,ne,Tev,ui_1,E
0.0203125,4.693909234837296e+18,5.059430836807548,385.65824503125333,187.51658023863746
0.0209375,4.4408471396174546e+18,5.613978678260185,534.7359962998698,322.02294383145136
0.021562500000000002,4.092326798994633e+18,6.337356285446431,718.3222528473896,524.0894394067681
0.0221875,3.665649823776325e+18,7.300727234660144,951.9679916316867,864.2997898058446
0.0228125,3.1591449373374715e+18,8.627166983020697,1272.3979950464923,1505.2716184173946
0.0234375,2.590806099295959e+18,10.520880030475592,1733.2628222973103,2740.988626203327
0.0240625,2.0079572839505894e+18,13.304681788871541,2433.292847415652,5431.089626868536
0.0246875,1.449504908162666e+18,17.425245876872594,3563.2989954164705,12051.551013285598
0.0253125,9.96986280810145e+17,22.859634978982285,5439.66034820451,28124.938483658127
0.025937500000000002,6.676193009865256e+17,27.631825558641246,8157.458101587141,57640.017225393036
0.0265625,4.7080997142255597e+17,32.493145103958234,11721.257369247713,93160.23876915174
0.0271875,3.8090388689063514e+17,30.88941098282638,14492.493389014044,73034.39861811495
0.0278125,3.408868720144709e+17,27.728730551233365,16182.743613173647,45795.28714408782
0.0284375,3.213399090374986e+17,25.426949988484886,17171.703252787564,28732.237975443855
0.0290625,3.104110296202875e+17,23.845947232379007,17785.651562049556,19445.9885529022
0.0296875,3.0347459271816006e+17,22.40919901303144,18203.329222687127,14252.530453841473
0.0303125,2.986569133362621e+17,21.121537763898413,18507.75639598987,10954.246331337965
0.0309375,2.950949727740799e+17,19.981702921921826,18740.697594972306,8714.423111156937
0.0315625,2.9233313080854163e+17,18.97306688715357,18925.88012420025,7139.623169367842
0.0321875,2.901102470405913e+17,18.07496893844141,19077.8027106851,5997.6807009593285
0.0328125,2.882690247250999e+17,17.269353054934914,19205.579421295082,5139.826849084027
0.0334375,2.8670668954248173e+17,16.54062158037006,19315.27179528255,4481.126292135472
0.0340625,2.853536948321204e+17,15.875085704670216,19411.20198465958,3968.1382369671965
0.0346875,2.8416253295926314e+17,15.262675919777577,19496.313292260438,3556.7134223935755
0.035312500000000004,2.830987878879595e+17,14.69445604178296,19572.821840917535,3224.730595229617
0.0359375,2.8213758760818045e+17,14.163618072223429,19642.342031507917,2950.8723057249094
0.0365625,2.8126046415999955e+17,13.664622240827974,19706.092116447402,2721.9522057212916
0.0371875,2.8045300584840595e+17,13.192881681122897,19765.014821078643,2528.5587407496896
0.0378125,2.7970417377734582e+17,12.744526066459558,19819.86519952504,2363.3299548840246
0.0384375,2.7900574814267197e+17,12.316850793504566,19871.189041569964,2218.5932287880596
0.0390625,2.783512744887798e+17,11.907430600048801,19919.432096493536,2091.1719441234072
0.0396875,2.7773555372080205e+17,11.514406930321261,19964.941402128483,1977.3041918357853
0.0403125,2.7715446634696227e+17,11.136130719810994,20008.0088030322,1874.8069111293428
0.0409375,2.766047717729525e+17,10.771512415405137,20048.849880215334,1780.6996967643645
0.0415625,2.7608375745534512e+17,10.419486239249906,20087.653951761033,1694.1777134557099
0.0421875,2.755892574790113e+17,10.079318249702611,20124.568736151672,1613.4663783744172
0.0428125,2.7511943074096477e+17,9.750369475251224,20159.719278401742,1537.8483513529338
0.043437500000000004,2.7467268727552125e+17,9.432098819753083,20193.214301490436,1466.6416132794368
0.044062500000000004,2.7424769111846534e+17,9.124094881943039,20225.145076496618,1399.0874194924224
0.0446875,2.7384332096581542e+17,8.826048385929143,20255.588290425643,1334.6740325909711
0.0453125,2.7345845822598813e+17,8.53765191497081,20284.615217981933,1273.332487373246
0.0459375,2.7309210676786246e+17,8.258543629989346,20312.298515156806,1214.9588894968538
0.0465625,2.7274345977458304e+17,7.988592958382056,20338.691307281893,1158.755581601559
0.0471875,2.724115870313716e+17,7.727520579823562,20363.85245532123,1105.21380516486
0.0478125,2.7209566900897114e+17,7.47499957803626,20387.843982530165,1054.158505258137
0.0484375,2.7179512171807706e+17,7.2309955015897724,20410.705474334183,1004.6865890811774
0.0490625,2.7150913539608717e+17,6.995275139433678,20432.48479176077,957.5454910654596
0.0496875,2.7123698945120214e+17,6.7674438793194485,20453.242209549087,912.8261862170577
0.0503125,2.7097821555406336e+17,6.547530798112127,20473.00744621444,869.3984569111096
0.050937500000000004,2.7073209954399603e+17,6.335185287205428,20491.82828538289,828.4251533095835
0.051562500000000004,2.704979974723796e+17,6.130054220709445,20509.757354106605,789.4650685142733
0.0521875,2.7027560216978442e+17,5.932217549629035,20526.818497614582,751.3116582663372
0.0528125,2.7006425650302234e+17,5.741541046700327,20543.044088644743,715.0001885042258
0.0534375,2.6986322914957187e+17,5.557394708759501,20558.49714713888,681.3045357066877
0.0540625,2.6967230541234717e+17,5.379903080702601,20573.198302497247,648.1101356914023
0.0546875,2.694908554109929e+17,5.208986503156828,20587.173899057525,616.6304337728875
0.0553125,2.693180874546272e+17,5.043790731680064,20600.49448976752,588.150522315954
0.0559375,2.6915374253815315e+17,4.884469850607176,20613.178341031857,559.7343075014593
0.0565625,2.6899783730667133e+17,4.731219475495516,20625.22925701926,531.4654419064226
0.0571875,2.6884986558436176e+17,4.584027142891078,20636.664217602305,504.6405980882282
0.0578125,2.6870912073026035e+17,4.441986777668829,20647.54900874753,480.63937669827624
0.0584375,2.6857556023903302e+17,4.30531937978066,20657.89472753061,456.54389290898405
0.059062500000000004,2.684487281093725e+17,4.174114928541249,20667.713217342258,433.5759825241671
0.059687500000000004,2.683279433976863e+17,4.047393947217251,20677.068508415574,413.3894888544585
0.0603125,2.682131295736394e+17,3.925396379191533,20685.969110139376,392.82617825506975
0.0609375,2.6810436013066666e+17,3.8084073771713753,20694.409947237888,372.22481254112057
0.0615625,2.6800109670251744e+17,3.696202032379367,20702.414882236437,353.4387906627211
0.0621875,2.67902701344072e+17,3.5877903788531564,20710.045701306597,337.1884249735164
0.0628125,2.6780906930136227e+17,3.4834364498470665,20717.30852661423,320.42223420421175
0.06343750000000001,2.677204033024108e+17,3.3834487435615896,20724.19369006248,303.03455210129476
0.0640625,2.6763673605610224e+17,3.288182573815324,20730.690400222018,285.7631819860874
0.06468750000000001,2.675575508507528e+17,3.1969941380630975,20736.83507077839,270.81074080243525
0.0653125,2.6748241710791213e+17,3.1092665781540627,20742.669472800684,257.27940579776697
0.06593750000000001,2.6741139808018998e+17,3.0253116428579756,20748.191772400765,243.07283839974093
0.0665625,2.6734463268696323e+17,2.945483676651526,20753.3904081353,228.58663623978669
0.06718750000000001,2.672817008276652e+17,2.8695751967030496,20758.2837870869,215.5955953016085
0.0678125,2.6722211426374858e+17,2.796662112971384,20762.92044390068,204.54729905304455
0.06843750000000001,2.6716585215910605e+17,2.7270486213021976,20767.30082307682,192.8190952156749
0.0690625,2.6711320665703123e+17,2.661075482401581,20771.410420937405,180.3370281841987
0.06968750000000001,2.670640807425968e+17,2.5991197539363387,20775.240164733175,168.1449427633524
0.0703125,2.670179490642156e+17,2.5402074123522302,20778.83545924986,158.2748493067657
0.07093750000000001,2.6697459803364627e+17,2.484151735159982,20782.21615728199,148.71451240233839
0.0715625,2.6693412133323494e+17,2.4312575742784603,20785.37583484659,138.48342869868569
0.0721875,2.6689676962692653e+17,2.381856117651628,20788.300063047696,127.75153686170061
0.0728125,2.668622438959033e+17,2.3360378977568454,20790.994077640866,117.98914889222671
0.07343749999999999,2.668300641505876e+17,2.292652013180133,20793.507268793983,110.35972296502837
0.0740625,2.668001855555832e+17,2.2519469396437044,20795.841984495954,102.2061322539978
0.07468749999999999,2.6677274047506726e+17,2.214184746919465,20797.98977481669,93.51381190148979
0.0753125,2.6674790754578038e+17,2.1796368449822983,20799.938867293247,84.53565291979075
0.07593749999999999,2.667254118293755e+17,2.148264581339609,20801.700270545054,76.72841963414719
0.0765625,2.6670457676946544e+17,2.1189168286510927,20803.320958386244,70.9521622371799
0.07718749999999999,2.6668595478698138e+17,2.0917570192788033,20804.809722724975,64.87710265757953
0.0778125,2.6666768421938806e+17,2.0669450757063674,20806.150524435216,58.49773492865903
0.0784375,2.6665468986445494e+17,2.044633332401145,20807.38442475539,51.904696447718024
0.07906250000000001,2.6663567084653002e+17,2.024957410347288,20808.341275546747,45.10748604769311
0.0796875,2.6662266571255437e+17,2.0080316402231833,20809.761293523658,39.377617567501716
0.08,2.6662266571255437e+17,2.000000000000001,20809.761293523658,37.57889898400684
