z,nn,ue,inv_hall,ni_1,ni_2,ni_3,ui_2,ui_3
0.017,2.1597427360614306e+19,-1871.0504612421921,-0.7984163179726537,2.567670983689915e+20,7.97402777233684e+19,2.986194238190056e+18,22.064640927728384,27.023555815332287
0.019000000000000003,1.6172709061509255e+19,-1635.7306114305645,0.03483106043562616,1.9757133864246813e+19,3.68446236570172e+18,1.48124343805136e+17,297.2566754855329,364.06358878782027
0.021,9.421498326642704e+18,-1403.4379619792658,0.025328186610415505,6.740661361548623e+18,1.0230755018505467e+18,4.3556846302593656e+16,878.2397900665327,1075.6196787360116
0.023,3.7402909508114447e+18,-1639.6858103534407,0.015244382614162957,2.9649921025024287e+18,3.625117273277596e+17,1.6337953946831462e+16,2007.7727896464037,2459.0094270390164
0.025,9.9565933378944e+17,-3452.599767873232,0.0031409127891803227,9.686895248294323e+17,9.509375992719466e+16,4220816143146301.0,6168.0863539690035,7554.332128323982
0.027000000000000003,3.034354235929476e+17,-9448.855083596933,0.0020572642678815737,3.0300244378064294e+17,2.6538693958432172e+16,1093100476415105.6,19745.60994895212,24183.33451747784
0.029,1.4791654653088768e+17,-12256.75971889807,0.015281506093721442,2.414861643031516e+17,2.060481114626842e+16,821673738454268.1,24782.410280649183,30352.129891947272
0.031,9.121743474752162e+16,-13467.436427577954,0.029189444994773727,2.2293612668218342e+17,1.8753760438914224e+16,739934738351423.9,26848.34524955606,32882.37314974451
0.035,4.599439507163549e+16,-13349.809358280956,0.07535889000311825,2.1012915591856243e+17,1.7345812635247988e+16,679208332482072.9,28489.942462725252,34892.91091746421
0.039,2.815715508258762e+16,-13744.268188947748,0.13383296072679352,2.063225061740061e+17,1.682944147386605e+16,658698293327847.5,29018.85514087095,35540.69400743714
0.043,2.005263953659119e+16,-13763.3878854125,0.14065278412031545,2.0863373567037363e+17,1.689241442980182e+16,662131926520619.4,28699.3552619314,35149.38816929569
0.047,1.5911518125489752e+16,-14044.770145699413,0.14901780050622843,2.1080565372903418e+17,1.6991863394260176e+16,667158425010892.6,28404.83414304312,34788.67493942076
0.055,1.244287621684017e+16,-14263.468742261553,0.12491851120264583,1.9673571512384726e+17,1.5790179194443404e+16,621231970701036.0,30437.440027289867,37278.098571712326
0.065,1.1349268242909114e+16,-14232.663724406597,0.12777571345300273,2.032065999923667e+17,1.6292425485840264e+16,641428086802855.5,29468.473157678276,36091.36136760717
0.07500000000000001,1.1048964066613832e+16,-14539.908489558826,-0.014799129213757084,2.0877987130328688e+17,1.6737399240854356e+16,659013544119643.4,28681.85632709375,35127.95643859846
